,0,1,2,3,4,5,6,7,8,9,10,11
37,36,HS:42036, L M S H S S Vattappara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  5 - 12,04722585442 ,  ,Location map
38,37,HS:42037, Govt. V H S S For Boys Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  8 - 12,04722812328 ,  ,Location map
39,38,HS:42038, Manarulhuda E M H S Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722802398 ,  ,Not Available
40,39,HS:42039, Govt. H S S Poovathoor ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  5 - 12,04722801423 ,  ,Location map
41,40,HS:42040, Govt. H S Karippoor ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  1 -10,04722812143 ,  ,Location map
42,41,HS:42041, S N H S S Uzhamalakkal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  5 - 12,04722898156 ,  ,Location map
43,42,HS:42042, Govt. H S S For Girls Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  5 - 12,04722802492 ,  ,Location map
44,43,HS:42043, Darsana H S S Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722812564 ,  ,Not Available
45,44,HS:42044, Govt. V & H S S Vellanad ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,04722882032 ,  ,Location map
46,45,HS:42045, Vikas Bhavan H S Mithraniketan ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Unaided Recognised,  1 -10,04722884066 ,  ,Not Available
47,46,HS:42046, S N V H S S Nedunganda ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,04702600762 ,  ,Location map
48,47,HS:42047, Govt.V & HSS Pakalkuri ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  5 - 12,04702682056 ,  ,Location map
49,48,HS:42048, NSSHS Madavoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 - 12,04702682096 ,  ,Location map
50,49,HS:42049, Govt. HSS Pallickal ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702682578 ,  ,Location map
51,50,HS:42050, V H S S Karavaram ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  8 - 12,04702692380 ,  ,Location map
52,51,HS:42051, Govt H S S Venjaramood ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  8 - 12,2872124 ,  ,Location map
53,52,HS:42052, G H S S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702653771 ,  ,Location map
54,53,HS:42053, Sivagiri H S S Varkala ,,Varkala(M),"Attingal *
",Varkala,Aided,  5 - 12,04702603010 ,  ,Location map
55,54,HS:42054, G H S S Palayamkunnu ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702667217 ,  ,Location map
56,55,HS:42055, Mulamana V.H.S.S. Anakudy ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  8 - 12,04722835105 ,  ,Location map
57,56,HS:42056, DBHS Vamanapuram ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 - 10,04702836138 ,  ,Location map
58,57,HS:42057, G M H S Nadayara ,,Varkala(M),"Attingal *
",Varkala,Government,  1 -10,04702600292 ,  ,Location map
